datetime,datetime_start,datetime_end,flux_mccallum_mm_day,flux_hatch_amplitude_mm_day,flux_keery_mm_day,flux_luce_mm_day,A_shallow,A_deep,r2_shallow,r2_deep,delta_phi,quality_flag
2025-12-22 16:00:00,2025-12-21 16:00:00,2025-12-23 15:30:00,-1326.1305939706185,-2355.1588849654763,-883.4019674196189,-49926768390.4291,7.33346450232375e-09,0.37902083215385013,4.547806131682819e-09,0.9106883259466001,4.436884736190039,1
2025-12-23 04:00:00,2025-12-22 04:00:00,2025-12-24 03:30:00,586.4628241442914,244.1135698754906,379.022949862509,812.7252663120496,2.758422451082466,0.4376906028309279,0.939815509046311,0.9613063154512935,3.8756511001644407,0
2025-12-23 16:00:00,2025-12-22 16:00:00,2025-12-24 15:30:00,605.7853140694718,239.9799772764832,362.6924652958121,807.8719460380364,2.734304450083309,0.44760115093997704,0.9311284402632367,0.9331999526215649,3.660521302273207,0
2025-12-24 04:00:00,2025-12-23 04:00:00,2025-12-25 03:30:00,590.047716274684,245.32338139340484,378.9770915664632,814.1173420282933,2.7300810228193932,0.42925932649398674,0.9376658578666179,0.9199410771790845,3.8658360553453766,0
2025-12-24 16:00:00,2025-12-23 16:00:00,2025-12-25 15:30:00,642.3778845815596,243.81944558169732,350.88435976803356,812.3849071980667,2.549914215628791,0.40550414396879436,0.8714018637436324,0.8697404052272857,3.453473355024023,0
2025-12-25 04:00:00,2025-12-24 04:00:00,2025-12-26 03:30:00,1323.8808004112675,2824.4765276964,1775.1084725081923,,2.8193418293299666,1.5839337484849747e-09,0.8653587297605033,6.623191994847843e-10,5.47293190845481,1
2025-12-25 16:00:00,2025-12-24 16:00:00,2025-12-26 15:30:00,644.9120079011706,244.3819269013192,350.5357435160772,813.0351497417938,2.56270091592425,0.4058125508409951,0.8775779145771123,0.4965744114959405,3.4439736388502937,0
2025-12-26 04:00:00,2025-12-25 04:00:00,2025-12-27 03:30:00,610.3150935362429,261.47706485112286,392.7372996538887,831.537424647723,2.596073680596789,0.3613736433566309,0.888884811374411,0.6042809691930194,3.9515545198236284,0
2025-12-26 16:00:00,2025-12-25 16:00:00,2025-12-27 15:30:00,1346.348433440548,2645.1682186205285,1554.4681826123347,,2.58120592324184,5.606121677992348e-09,0.909474870901857,2.353799466447981e-08,3.497354463249703,1
2025-12-27 04:00:00,2025-12-26 04:00:00,2025-12-28 03:30:00,610.1205502756959,252.43760670322962,379.26080875556846,822.0513449473056,2.4510687380328755,0.36525820178183954,0.9256230524504467,0.8584427125232975,3.8164655915645005,0
2025-12-27 16:00:00,2025-12-26 16:00:00,2025-12-28 15:30:00,650.3029056528221,261.66146211682,372.7108283390368,831.7242820582723,2.500741229991543,0.3476196332852953,0.9057404307068952,0.7768458036778583,3.648117896797869,0
2025-12-28 04:00:00,2025-12-27 04:00:00,2025-12-29 03:30:00,583.8176283547009,252.91966612181963,394.1734186207336,822.5737101237206,2.7619402801235196,0.4100907584673441,0.9338122902369972,0.6850517973302286,4.037747353655232,0
2025-12-28 16:00:00,2025-12-27 16:00:00,2025-12-29 15:30:00,669.8607486784842,254.50329447277917,353.5967702617023,824.2764433036303,2.6802122450715857,0.3932315566896613,0.9228684770527186,0.6475086583856933,3.413814131236896,0
2025-12-29 04:00:00,2025-12-28 04:00:00,2025-12-30 03:30:00,607.0123137753349,262.93576032471077,396.71749660320023,833.0085033890606,2.8370311331962497,0.3905945730772493,0.9259807054066792,0.7120168743096015,4.000584933343833,0
2025-12-29 16:00:00,2025-12-28 16:00:00,2025-12-30 15:30:00,-1365.6175444019746,-2719.2400687468275,-1301.033693748357,-777555824347.7074,4.817342080798426e-10,0.38775685835851564,-2.6619950688200333e-10,0.7652132804631202,0.8836191160209332,1
2025-12-30 04:00:00,2025-12-29 04:00:00,2025-12-31 03:30:00,620.8517051244905,266.3937745364977,394.4519052406977,836.4318970654015,2.886462513725784,0.38717091261797104,0.9155861898147026,0.7872419550048503,3.9403370405783136,0
2025-12-30 16:00:00,2025-12-29 16:00:00,2025-12-31 15:30:00,668.3713623137041,263.3461162754461,366.569262834582,833.4194348092038,2.869209919186174,0.3938043188114603,0.9161957738373874,0.8217105744603239,3.542784453448877,0
2025-12-31 04:00:00,2025-12-30 04:00:00,2026-01-01 03:30:00,652.4603836383656,271.3632572683425,385.4574040258843,841.1978962631895,2.879058529695983,0.3719733263792223,0.9159116148795776,0.8961083515721516,3.767203199591469,0
2025-12-31 16:00:00,2025-12-30 16:00:00,2026-01-01 15:30:00,671.9444057504776,270.47050023108517,374.7988090355281,840.3548029418278,2.895059802544459,0.3765673846668779,0.9216663397494275,0.9675337430762831,3.6131790773286943,0
2026-01-01 04:00:00,2025-12-31 04:00:00,2026-01-02 03:30:00,666.9737162135368,274.68811620565765,383.03149483993826,844.2883312668398,2.924045569294101,0.368431058315111,0.9231362618832928,0.9638498122422006,3.7055414854541295,0
2026-01-01 16:00:00,2025-12-31 16:00:00,2026-01-02 15:30:00,673.3877486581731,275.38911379058464,380.92501271057387,844.9300718769312,2.938748386537023,0.36833133881463415,0.9170043671303036,0.9445950558170475,3.668484463509029,0
2026-01-02 04:00:00,2026-01-01 04:00:00,2026-01-03 03:30:00,683.6284122340732,278.7282721377199,380.66231705708213,847.9408243358515,2.9175524035259297,0.3565815709822902,0.9119744020091056,0.9348854150379109,3.639341237351199,0
2026-01-02 16:00:00,2026-01-01 16:00:00,2026-01-03 15:30:00,-1334.057374394951,-2650.8360135726066,-1029.5798146506686,-464196905442.98364,8.07584665807326e-10,0.38807058721447557,4.1057712785175227e-10,0.833552125714524,4.461932235930093,1
2026-01-03 04:00:00,2026-01-02 04:00:00,2026-01-04 03:30:00,680.3061464592366,269.32108933136215,369.33201012201147,839.2609413896236,2.9282119146703796,0.3841953363057131,0.919219840794654,0.7416386910308519,3.539394859783659,0
2026-01-03 16:00:00,2026-01-02 16:00:00,2026-01-04 15:30:00,-238.64867823181342,-90.32495194884099,209.5371953694468,-942.9763717528472,1.0933993710438017e-08,2.160732653910813e-08,5.780315781578338e-09,8.166188880665004e-08,3.841467073084889,1
2026-01-04 04:00:00,2026-01-03 04:00:00,2026-01-05 03:30:00,654.3687127751202,270.21377399007434,382.88485180062753,840.1113056103635,3.045366622140575,0.3968857878599917,0.9294990974682877,0.9456400223151777,3.737071540825057,0
2026-01-04 16:00:00,2026-01-03 16:00:00,2026-01-05 15:30:00,686.6695661890378,272.8973620539499,371.3025995772407,842.6334680001864,2.892348750905573,0.3693921255490464,0.9269672325692536,0.8655162742809297,3.542146679403359,0
2026-01-05 04:00:00,2026-01-04 04:00:00,2026-01-06 03:30:00,672.4740771576111,281.65047637939733,390.03208720192623,850.5141375914703,2.926933463354177,0.3499311475203731,0.9194884851422295,0.8556884755188008,3.758622458429647,0
2026-01-05 16:00:00,2026-01-04 16:00:00,2026-01-06 15:30:00,672.6508320382428,275.72000906675754,381.73494252835735,845.2318191854861,2.8810723923518786,0.3602025039200099,0.9014350529901908,0.9292084709150995,3.678204762948103,0
