datetime,datetime_start,datetime_end,flux_mccallum_mm_day,flux_hatch_amplitude_mm_day,flux_keery_mm_day,flux_luce_mm_day,A_shallow,A_deep,r2_shallow,r2_deep,delta_phi,quality_flag,par
2025-12-22 16:00:00,2025-12-21 16:00:00,2025-12-23 15:30:00,-1545.3864527729618,,-1447.4990994556363,-593625748777.5234,7.514899813543252e-09,4.014213416742166,-2.501366669349636e-09,0.8593581910034301,3.600348527164992,1,sup_int
2025-12-23 04:00:00,2025-12-22 04:00:00,2025-12-24 03:30:00,27.817858787089726,2116.311616859022,552.6738147425368,115.43298613746161,4.928968393465784,4.4169913409831665,0.9083785898340287,0.8792845185569009,6.188665253424238,0,sup_int
2025-12-23 16:00:00,2025-12-22 16:00:00,2025-12-24 15:30:00,27.53720605743232,2129.682139880247,552.9806964570943,114.40926391246356,4.750898278920826,4.261794007960298,0.9009584152373517,0.8774896136656721,6.193189945613553,0,sup_int
2025-12-24 04:00:00,2025-12-23 04:00:00,2025-12-25 03:30:00,28.43396140484494,2087.3147923239153,552.132480607701,117.6977853986661,4.834641067714382,4.322609119119994,0.916262131638371,0.8956829681594372,6.180219381480899,0,sup_int
2025-12-24 16:00:00,2025-12-23 16:00:00,2025-12-25 15:30:00,29.507106466085727,2034.003173205925,553.1712492426976,122.02742761594781,4.684543266161763,4.170157144584951,0.9027618140770449,0.8830452092857406,6.187690316228125,0,sup_int
2025-12-25 04:00:00,2025-12-24 04:00:00,2025-12-26 03:30:00,25.68583669446166,2235.7773123858397,550.2854212850305,106.72039904492536,4.892443584124661,4.422616770656617,0.9135397938346937,0.9006906179886589,6.170157443392189,0,sup_int
2025-12-25 16:00:00,2025-12-24 16:00:00,2025-12-26 15:30:00,29.710466982176452,2030.624588555255,550.7996402330206,122.30930488406085,4.925184509189887,4.383125540241203,0.9266620234834152,0.8969192886351309,6.160378207881539,0,sup_int
2025-12-26 04:00:00,2025-12-25 04:00:00,2025-12-27 03:30:00,24.4693957539534,2310.461946840294,548.9173621912223,101.73696541983861,5.028323238834913,4.567996185252026,0.9334888141983428,0.9089952093861258,6.159515279554465,0,sup_int
2025-12-26 16:00:00,2025-12-25 16:00:00,2025-12-27 15:30:00,-1549.643331066878,,-1624.3031261962697,-4423481811452.767,1.1169909441832715e-09,4.446091846327118,-3.5568969991572885e-10,0.9056099445656873,3.5939022506018397,1,sup_int
2025-12-27 04:00:00,2025-12-26 04:00:00,2025-12-28 03:30:00,25.701267799874813,2236.0837001141654,549.8456401087481,106.69926049833266,4.886101273868749,4.416976459410203,0.9334743808181414,0.9051568286537247,6.165166686801106,0,sup_int
2025-12-27 16:00:00,2025-12-26 16:00:00,2025-12-28 15:30:00,26.68859844660506,2182.6013216517913,549.6187900033586,110.48020267826877,4.81334425172213,4.334828853230344,0.9362851984210293,0.9075549284979126,6.158810789147341,0,sup_int
2025-12-28 04:00:00,2025-12-27 04:00:00,2025-12-29 03:30:00,29.58204172240303,2035.8719646544048,551.0496285663321,121.87190479907524,4.8285117523019006,4.298992903804846,0.9442613366340125,0.9141398792820218,6.163669271149496,0,sup_int
2025-12-28 16:00:00,2025-12-27 16:00:00,2025-12-29 15:30:00,30.50873716634245,1995.2964554238217,550.6464994372003,125.3122697443348,4.800077873479547,4.258817277592645,0.9447226043711966,0.9151130103550202,6.155592017344958,0,sup_int
2025-12-29 04:00:00,2025-12-28 04:00:00,2025-12-30 03:30:00,32.21978685406428,1921.0126252770892,551.5220265961789,131.97310119820298,4.898515324514949,4.316794749038189,0.9460813758890857,0.9170169489977256,6.1587912889388,0,sup_int
2025-12-29 16:00:00,2025-12-28 16:00:00,2025-12-30 15:30:00,1557.0193435095057,,1867.907476971924,,4.905446131047002,3.197196285498194e-08,0.9404873814838226,-1.1394885035542757e-08,2.438142134589273,1,sup_int
2025-12-30 04:00:00,2025-12-29 04:00:00,2025-12-31 03:30:00,34.19930916450393,1845.0551190588833,551.169635922687,139.30931322483548,5.146486135839869,4.501343877332508,0.9469082373585817,0.9184929609295462,6.14725621021936,0,sup_int
2025-12-30 16:00:00,2025-12-29 16:00:00,2025-12-31 15:30:00,36.40793242276705,1767.0680046655368,550.9894598547959,147.45112799121856,5.173826635690352,4.487351987156866,0.9441571722062546,0.9110301606737949,6.136791282437052,0,sup_int
2025-12-31 04:00:00,2025-12-30 04:00:00,2026-01-01 03:30:00,35.81430848956136,1790.761905256647,549.5569251030324,144.9084008848289,5.27814105467525,4.589902357132585,0.9469859653855095,0.9196893811508159,6.123100541492519,0,sup_int
2025-12-31 16:00:00,2025-12-30 16:00:00,2026-01-01 15:30:00,36.12129461430231,1780.0665180639764,549.5927026521124,146.04850055484206,5.239191310508808,4.55065651650704,0.9427367348031406,0.9135489384270657,6.122327834062296,0,sup_int
2026-01-01 04:00:00,2025-12-31 04:00:00,2026-01-02 03:30:00,35.68773466099011,1795.193783215717,549.5494378078062,144.43963361964433,5.193096284613372,4.518137452115788,0.9399914040212423,0.9101683337984985,6.123500162130827,0,sup_int
2026-01-01 16:00:00,2025-12-31 16:00:00,2026-01-02 15:30:00,1507.1920573862299,,2162.4123651299524,,5.166501567219874,2.6760269555836658e-08,0.9363994443529371,9.044136772828892e-09,5.564563905453259,1,sup_int
2026-01-02 04:00:00,2026-01-01 04:00:00,2026-01-03 03:30:00,33.1430663757528,1889.3285759931032,549.4477281785175,134.96573691532882,5.010475355716423,4.401966374496051,0.9276244733497505,0.8995332535333187,6.132091884686655,0,sup_int
2026-01-02 16:00:00,2026-01-01 16:00:00,2026-01-03 15:30:00,32.11435077618793,1928.656704004207,550.1339507455839,131.26505735271834,5.142259099151931,4.534869123792908,0.9299016111426222,0.9031606807236616,6.143695333504084,0,sup_int
2026-01-03 04:00:00,2026-01-02 04:00:00,2026-01-04 03:30:00,28.335786994714294,2105.745238159741,546.811965373293,116.25112975966778,5.121727495677195,4.585957754842288,0.9279696993902571,0.9048202528255223,6.121041056413522,0,sup_int
2026-01-03 16:00:00,2026-01-02 16:00:00,2026-01-04 15:30:00,28.67178471416311,2087.520804247395,547.5524196141259,117.68147562986282,5.0940454896039125,4.5546150419041584,0.9275681459720806,0.9039763594144734,6.128040878867897,0,sup_int
2026-01-04 04:00:00,2026-01-03 04:00:00,2026-01-05 03:30:00,24.72091915629255,2303.813613947636,545.8290185761127,102.16715478751618,5.153656293576936,4.679860411020731,0.9319786180802747,0.9136561536191959,6.1238939494952085,0,sup_int
2026-01-04 16:00:00,2026-01-03 16:00:00,2026-01-05 15:30:00,24.18187245215699,2333.5934547572415,546.8891192182259,100.25991148270812,4.943555225158287,4.497558942620942,0.9256450297525544,0.9106457295794578,6.13786316061522,0,sup_int
2026-01-05 04:00:00,2026-01-04 04:00:00,2026-01-06 03:30:00,22.7280114659832,2429.795066498708,545.9988460316428,94.4302283883187,4.7551565745849125,4.351101659930782,0.9152316020100845,0.8983581031058798,6.133466907516492,0,sup_int
2026-01-05 16:00:00,2026-01-04 16:00:00,2026-01-06 15:30:00,-1545.0474733052833,,-1425.1506536493519,-448714092725.5332,1.073794297923314e-08,4.335661180416793,-3.434225126497381e-09,0.884117370475372,3.5751709130631277,1,sup_int
2026-01-06 04:00:00,2026-01-05 04:00:00,2026-01-07 03:30:00,26.333698037587922,2204.4985839293972,548.5653068496249,108.90976200656043,4.504005014687616,4.062607171978748,0.8926139389225785,0.8738388907389896,6.148373078266001,0,sup_int
2026-01-06 16:00:00,2026-01-05 16:00:00,2026-01-07 15:30:00,25.5378256651008,2254.5383402814505,546.424682176156,105.4368008158678,4.717613284085637,4.270024608899487,0.9123536438582507,0.8945155816907651,6.127436921159212,0,sup_int
2026-01-07 04:00:00,2026-01-06 04:00:00,2026-01-08 03:30:00,25.9123876985287,2230.4252418493734,547.5421548372245,107.09060489807955,4.612136251245529,4.167691243591189,0.9098958779134596,0.895102110707318,6.138526272107395,0,sup_int
2026-01-07 16:00:00,2026-01-06 16:00:00,2026-01-08 15:30:00,21.47203967225284,2519.4879109036506,545.4992609959673,89.41613285775594,4.297260603189569,3.951502707073433,0.8858572398158698,0.8797948965811547,6.132692321078003,0,sup_int
2026-01-08 04:00:00,2026-01-07 04:00:00,2026-01-09 03:30:00,25.70016699845572,2243.326139478636,547.1692542664888,106.20129357190865,3.6576295581880496,3.3080918318808274,0.7995842487846103,0.7665321847110237,6.135161835366327,0,sup_int
2026-01-08 16:00:00,2026-01-07 16:00:00,2026-01-09 15:30:00,1512.4286577627981,,2239.0105012021168,,3.728634397928097,8.018017361166585e-09,0.8020927869304695,3.041007778925575e-09,5.558411926543703,1,sup_int
2026-01-09 04:00:00,2026-01-08 04:00:00,2026-01-10 03:30:00,29.703344467359813,2032.6825070497207,550.1085940468549,122.1375028999491,3.7030170211782254,3.296040573410234,0.8133225649577159,0.7911633542132172,6.152676661271528,0,sup_int
2026-01-09 16:00:00,2026-01-08 16:00:00,2026-01-10 15:30:00,34.88989263197836,1822.0306987611157,550.2004024817809,141.64600824912134,4.1334645033332045,3.6066192344669017,0.8223959456961779,0.7908282764049022,6.133803812997795,0,sup_int
2026-01-10 04:00:00,2026-01-09 04:00:00,2026-01-11 03:30:00,27.073638756613107,2166.950423859071,547.8396249985756,111.62222661758271,4.876280134370283,4.386496961241921,0.9088139766558144,0.8828153874822482,6.137393486322689,0,sup_int
2026-01-10 16:00:00,2026-01-09 16:00:00,2026-01-11 15:30:00,32.683767505161335,1905.1072498321623,550.3992648226898,133.46363344221444,4.6315718696779244,4.075339980827278,0.9139202491336145,0.882520977852469,6.144473023395775,0,sup_int
2026-01-11 04:00:00,2026-01-10 04:00:00,2026-01-12 03:30:00,25.06290462907481,2282.5417013096544,546.2120397536802,103.5609008020619,4.890002792720552,4.434312834469827,0.9249194044797454,0.9077047739157685,6.126876831739913,0,sup_int
2026-01-11 16:00:00,2026-01-10 16:00:00,2026-01-12 15:30:00,1508.2738720074963,,2176.412724572926,,4.720348917106088,2.0762803032425836e-08,0.9227226015116476,7.46707951027048e-09,5.560671480225308,1,sup_int
2026-01-12 04:00:00,2026-01-11 04:00:00,2026-01-13 03:30:00,24.047145829425325,2346.4495980227616,545.2617556291151,99.4520073908178,4.830016089321237,4.397774389051205,0.9285077162364497,0.9109299546257696,6.120116287234684,0,sup_int
