Termocupla,Flujo_medio_mm_dia,Flujo_std_mm_dia,Flujo_mediana_mm_dia,n_ventanas_validas,pct_downwelling,R2_promedio
TC1,92.56947016129033,212.94520769590014,0.0,124,43.54838709677419,0.04107459677419354
TC2,135.17959629629627,188.0229152477738,179.74275,27,81.48148148148148,0.06142037037037037
TC3,99.36847788944725,91.28487049378796,93.2392,199,91.95979899497488,0.08743567839195981
TC4,45.211733583690986,74.169881442244,32.1492,466,81.3304721030043,0.0793931330472103
TC5,85.23598023255816,192.8080322427733,119.421125,86,73.25581395348837,0.037895930232558134
