fecha,temperatura_C,TC,posicion,profundidad_m
2025-12-24 00:57:01,15.377,TC1,surface,0.0
2025-12-24 01:27:01,15.189,TC1,surface,0.0
2025-12-24 01:57:01,15.001,TC1,surface,0.0
2025-12-24 02:27:01,14.813,TC1,surface,0.0
2025-12-24 02:57:01,14.688,TC1,surface,0.0
2025-12-24 03:27:01,14.562,TC1,surface,0.0
2025-12-24 03:57:01,14.437,TC1,surface,0.0
2025-12-24 04:27:01,14.249,TC1,surface,0.0
2025-12-24 04:57:01,14.061,TC1,surface,0.0
2025-12-24 05:27:01,13.936,TC1,surface,0.0
2025-12-24 05:57:01,13.811,TC1,surface,0.0
2025-12-24 06:27:01,13.685,TC1,surface,0.0
2025-12-24 06:57:01,13.56,TC1,surface,0.0
2025-12-24 07:27:01,13.497,TC1,surface,0.0
2025-12-24 07:57:01,13.497,TC1,surface,0.0
2025-12-24 08:27:01,13.497,TC1,surface,0.0
2025-12-24 08:57:01,13.56,TC1,surface,0.0
2025-12-24 09:27:01,13.811,TC1,surface,0.0
2025-12-24 09:57:01,14.124,TC1,surface,0.0
2025-12-24 10:27:01,14.5,TC1,surface,0.0
2025-12-24 10:57:01,14.938,TC1,surface,0.0
2025-12-24 11:27:01,15.439,TC1,surface,0.0
2025-12-24 11:57:01,15.94,TC1,surface,0.0
2025-12-24 12:27:01,16.504,TC1,surface,0.0
2025-12-24 12:57:01,17.068,TC1,surface,0.0
2025-12-24 13:27:01,17.756,TC1,surface,0.0
2025-12-24 13:57:01,18.883,TC1,surface,0.0
2025-12-24 14:27:01,20.01,TC1,surface,0.0
2025-12-24 14:57:01,20.823,TC1,surface,0.0
2025-12-24 15:27:01,21.386,TC1,surface,0.0
2025-12-24 15:57:01,21.574,TC1,surface,0.0
2025-12-24 16:27:01,21.574,TC1,surface,0.0
2025-12-24 16:57:01,21.324,TC1,surface,0.0
2025-12-24 17:27:01,20.886,TC1,surface,0.0
2025-12-24 17:57:01,20.385,TC1,surface,0.0
2025-12-24 18:27:01,19.759,TC1,surface,0.0
2025-12-24 18:57:01,19.196,TC1,surface,0.0
2025-12-24 19:27:01,18.633,TC1,surface,0.0
2025-12-24 19:57:01,18.195,TC1,surface,0.0
2025-12-24 20:27:01,17.756,TC1,surface,0.0
2025-12-24 20:57:01,17.443,TC1,surface,0.0
2025-12-24 21:27:01,17.068,TC1,surface,0.0
2025-12-24 21:57:01,16.817,TC1,surface,0.0
2025-12-24 22:27:01,16.441,TC1,surface,0.0
2025-12-24 22:57:01,16.191,TC1,surface,0.0
2025-12-24 23:27:01,16.003,TC1,surface,0.0
2025-12-24 23:57:01,15.815,TC1,surface,0.0
2025-12-25 00:27:01,15.627,TC1,surface,0.0
2025-12-25 00:57:01,15.502,TC1,surface,0.0
2025-12-25 01:27:01,15.314,TC1,surface,0.0
2025-12-25 01:57:01,15.126,TC1,surface,0.0
2025-12-25 02:27:01,14.938,TC1,surface,0.0
2025-12-25 02:57:01,14.813,TC1,surface,0.0
2025-12-25 03:27:01,14.625,TC1,surface,0.0
2025-12-25 03:57:01,14.5,TC1,surface,0.0
2025-12-25 04:27:01,14.374,TC1,surface,0.0
2025-12-25 04:57:01,14.312,TC1,surface,0.0
2025-12-25 05:27:01,14.374,TC1,surface,0.0
2025-12-25 05:57:01,14.187,TC1,surface,0.0
2025-12-25 06:27:01,13.999,TC1,surface,0.0
2025-12-25 06:57:01,13.873,TC1,surface,0.0
2025-12-25 07:27:01,13.811,TC1,surface,0.0
2025-12-25 07:57:01,13.811,TC1,surface,0.0
2025-12-25 08:27:01,13.811,TC1,surface,0.0
2025-12-25 08:57:01,13.999,TC1,surface,0.0
2025-12-25 09:27:01,14.312,TC1,surface,0.0
2025-12-25 09:57:01,14.75,TC1,surface,0.0
2025-12-25 10:27:01,15.314,TC1,surface,0.0
2025-12-25 10:57:01,15.94,TC1,surface,0.0
2025-12-25 11:27:01,16.629,TC1,surface,0.0
2025-12-25 11:57:01,17.381,TC1,surface,0.0
2025-12-25 12:27:01,18.132,TC1,surface,0.0
2025-12-25 12:57:01,18.946,TC1,surface,0.0
2025-12-25 13:27:01,19.759,TC1,surface,0.0
2025-12-25 13:57:01,20.573,TC1,surface,0.0
2025-12-25 14:27:01,21.261,TC1,surface,0.0
2025-12-25 14:57:01,21.762,TC1,surface,0.0
2025-12-25 15:27:01,22.2,TC1,surface,0.0
2025-12-25 15:57:01,22.387,TC1,surface,0.0
2025-12-25 16:27:01,22.387,TC1,surface,0.0
2025-12-25 16:57:01,22.2,TC1,surface,0.0
2025-12-25 17:27:01,21.824,TC1,surface,0.0
2025-12-25 17:57:01,21.324,TC1,surface,0.0
2025-12-25 18:27:01,20.698,TC1,surface,0.0
2025-12-25 18:57:01,20.072,TC1,surface,0.0
2025-12-25 19:27:01,19.447,TC1,surface,0.0
2025-12-25 19:57:01,18.946,TC1,surface,0.0
2025-12-25 20:27:01,18.445,TC1,surface,0.0
2025-12-25 20:57:01,18.007,TC1,surface,0.0
2025-12-25 21:27:01,17.631,TC1,surface,0.0
2025-12-25 21:57:01,17.318,TC1,surface,0.0
2025-12-25 22:27:01,17.005,TC1,surface,0.0
2025-12-25 22:57:01,16.755,TC1,surface,0.0
2025-12-25 23:27:01,16.504,TC1,surface,0.0
2025-12-25 23:57:01,16.379,TC1,surface,0.0
2025-12-26 00:27:01,16.254,TC1,surface,0.0
2025-12-26 00:57:01,16.066,TC1,surface,0.0
2025-12-26 01:27:01,15.94,TC1,surface,0.0
2025-12-26 01:57:01,15.753,TC1,surface,0.0
2025-12-26 02:27:01,15.565,TC1,surface,0.0
2025-12-26 02:57:01,15.377,TC1,surface,0.0
2025-12-26 03:27:01,15.189,TC1,surface,0.0
2025-12-26 03:57:01,15.001,TC1,surface,0.0
2025-12-26 04:27:01,14.813,TC1,surface,0.0
2025-12-26 04:57:01,14.688,TC1,surface,0.0
2025-12-26 05:27:01,14.5,TC1,surface,0.0
2025-12-26 05:57:01,14.374,TC1,surface,0.0
2025-12-26 06:27:01,14.249,TC1,surface,0.0
2025-12-26 06:57:01,14.187,TC1,surface,0.0
2025-12-26 07:27:01,14.124,TC1,surface,0.0
2025-12-26 07:57:01,14.187,TC1,surface,0.0
2025-12-26 08:27:01,14.187,TC1,surface,0.0
2025-12-26 08:57:01,14.374,TC1,surface,0.0
2025-12-26 09:27:01,14.625,TC1,surface,0.0
2025-12-26 09:57:01,15.001,TC1,surface,0.0
2025-12-26 10:27:01,15.502,TC1,surface,0.0
2025-12-26 10:57:01,16.128,TC1,surface,0.0
2025-12-26 11:27:01,16.817,TC1,surface,0.0
2025-12-26 11:57:01,17.569,TC1,surface,0.0
2025-12-26 12:27:01,18.32,TC1,surface,0.0
2025-12-26 12:57:01,19.071,TC1,surface,0.0
2025-12-26 13:27:01,19.885,TC1,surface,0.0
2025-12-26 13:57:01,20.698,TC1,surface,0.0
2025-12-26 14:27:01,21.386,TC1,surface,0.0
2025-12-26 14:57:01,21.887,TC1,surface,0.0
2025-12-26 15:27:01,22.2,TC1,surface,0.0
2025-12-26 15:57:01,22.387,TC1,surface,0.0
2025-12-26 16:27:01,22.325,TC1,surface,0.0
2025-12-26 16:57:01,22.012,TC1,surface,0.0
2025-12-26 17:27:01,21.574,TC1,surface,0.0
2025-12-26 17:57:01,21.073,TC1,surface,0.0
2025-12-26 18:27:01,20.385,TC1,surface,0.0
2025-12-26 18:57:01,19.759,TC1,surface,0.0
2025-12-26 19:27:01,19.196,TC1,surface,0.0
2025-12-26 19:57:01,18.695,TC1,surface,0.0
2025-12-26 20:27:01,18.257,TC1,surface,0.0
2025-12-26 20:57:01,17.882,TC1,surface,0.0
2025-12-26 21:27:01,17.506,TC1,surface,0.0
2025-12-26 21:57:01,17.193,TC1,surface,0.0
2025-12-26 22:27:01,16.942,TC1,surface,0.0
2025-12-26 22:57:01,16.692,TC1,surface,0.0
2025-12-26 23:27:01,16.504,TC1,surface,0.0
2025-12-26 23:57:01,16.316,TC1,surface,0.0
2025-12-27 00:27:01,16.191,TC1,surface,0.0
2025-12-27 00:57:01,16.066,TC1,surface,0.0
2025-12-27 01:27:01,15.94,TC1,surface,0.0
2025-12-27 01:57:01,15.753,TC1,surface,0.0
2025-12-27 02:27:01,15.565,TC1,surface,0.0
2025-12-27 02:57:01,15.377,TC1,surface,0.0
2025-12-27 03:27:01,15.252,TC1,surface,0.0
2025-12-27 03:57:01,15.189,TC1,surface,0.0
2025-12-27 04:27:01,15.064,TC1,surface,0.0
2025-12-27 04:57:01,14.938,TC1,surface,0.0
2025-12-27 05:27:01,14.813,TC1,surface,0.0
2025-12-27 05:57:01,14.688,TC1,surface,0.0
2025-12-27 06:27:01,14.5,TC1,surface,0.0
2025-12-27 06:57:01,14.374,TC1,surface,0.0
2025-12-27 07:27:01,14.249,TC1,surface,0.0
2025-12-27 07:57:01,14.187,TC1,surface,0.0
2025-12-27 08:27:01,14.187,TC1,surface,0.0
2025-12-27 08:57:01,14.374,TC1,surface,0.0
2025-12-27 09:27:01,14.625,TC1,surface,0.0
2025-12-27 09:57:01,15.001,TC1,surface,0.0
2025-12-27 10:27:01,15.502,TC1,surface,0.0
2025-12-27 10:57:01,16.066,TC1,surface,0.0
2025-12-27 11:27:01,16.817,TC1,surface,0.0
2025-12-27 11:57:01,17.569,TC1,surface,0.0
2025-12-27 12:27:01,18.382,TC1,surface,0.0
