freq,period,amplitude
4.166145898429363e-07,2400300.0,833.8431357019297
8.332291796858726e-07,1200150.0,760.6389350714641
1.249843769528809e-06,800100.0,675.4519616927529
1.6664583593717453e-06,600075.0,605.899729945098
2.083072949214682e-06,480059.99999999994,179.61326665217524
2.499687539057618e-06,400050.0,881.7079498050591
2.916302128900554e-06,342900.0,340.2349389009444
3.3329167187434905e-06,300037.5,549.8465227685718
3.749531308586427e-06,266700.0,241.01946975652567
4.166145898429364e-06,240029.99999999997,135.60889978070034
4.582760488272299e-06,218209.0909090909,76.04355149342845
4.999375078115236e-06,200025.0,227.33332488236465
5.415989667958172e-06,184638.46153846153,132.00608259054331
5.832604257801108e-06,171450.0,229.18737984884217
6.2492188476440446e-06,160020.0,87.06761705945411
6.665833437486981e-06,150018.75,186.0211016632906
7.082448027329918e-06,141194.11764705883,122.94674682014433
7.499062617172854e-06,133350.0,92.01624268233323
7.91567720701579e-06,126331.5789473684,199.835716386937
8.332291796858727e-06,120014.99999999999,242.16779021799772
8.748906386701662e-06,114300.0,165.35749677637756
9.165520976544599e-06,109104.54545454546,250.12472824386512
9.582135566387535e-06,104360.86956521739,37.70198996280544
9.998750156230472e-06,100012.5,152.72529122155487
1.0415364746073408e-05,96012.0,291.90702709671535
1.0831979335916345e-05,92319.23076923077,483.3120038271657
1.1248593925759281e-05,88899.99999999999,286.2353445848769
1.1665208515602216e-05,85725.0,1621.3404408995495
1.2081823105445153e-05,82768.96551724138,579.3603030001684
1.2498437695288089e-05,80010.0,263.7546831708507
1.2915052285131026e-05,77429.03225806452,110.53707712467951
1.3331666874973962e-05,75009.375,139.37865788268311
1.3748281464816899e-05,72736.36363636363,152.45477674666267
1.4164896054659835e-05,70597.05882352941,69.65985347846605
1.4581510644502772e-05,68580.0,189.80696856464715
1.4998125234345708e-05,66675.0,41.989850826584856
1.5414739824188645e-05,64872.972972972966,116.45504773510604
1.583135441403158e-05,63165.7894736842,133.83692535989343
1.6247969003874518e-05,61546.15384615384,95.8490637139484
1.6664583593717454e-05,60007.49999999999,60.20946055892845
1.7081198183560388e-05,58543.902439024394,89.11592725985234
1.7497812773403324e-05,57150.0,81.58283339301667
1.791442736324626e-05,55820.93023255814,107.91988321723422
1.8331041953089197e-05,54552.27272727273,26.580352569458967
1.8747656542932134e-05,53340.0,80.55674533968902
1.916427113277507e-05,52180.434782608696,39.365306995940735
1.9580885722618007e-05,51070.21276595745,45.60889950596873
1.9997500312460943e-05,50006.25,118.05944705247511
2.041411490230388e-05,48985.71428571428,15.614816313268129
2.0830729492146816e-05,48006.0,29.33764738857294
2.1247344081989753e-05,47064.70588235294,32.808742046963715
2.166395867183269e-05,46159.61538461538,32.55553058728498
2.2080573261675626e-05,45288.67924528301,105.85773572449561
2.2497187851518562e-05,44449.99999999999,94.22468047400963
2.29138024413615e-05,43641.81818181818,176.0947719351469
2.3330417031204432e-05,42862.5,215.68697265263245
2.374703162104737e-05,42110.52631578947,109.48825850760205
2.4163646210890305e-05,41384.48275862069,89.30297916537388
2.4580260800733242e-05,40683.05084745763,71.12124176975544
2.4996875390576178e-05,40005.0,50.113660387418896
2.5413489980419115e-05,39349.18032786885,19.068414558406186
2.583010457026205e-05,38714.51612903226,22.208995630650904
2.6246719160104988e-05,38100.0,42.81401442590137
2.6663333749947924e-05,37504.6875,33.192792915870335
2.707994833979086e-05,36927.692307692305,31.658663262456475
2.7496562929633797e-05,36368.181818181816,19.905332082887746
2.7913177519476734e-05,35825.37313432836,37.12048357856644
2.832979210931967e-05,35298.529411764706,28.75031434531255
2.8746406699162607e-05,34786.95652173913,7.312291824086719
2.9163021289005544e-05,34290.0,14.822592592012915
2.957963587884848e-05,33807.042253521126,45.54750524238337
2.9996250468691417e-05,33337.5,16.998799519472026
3.041286505853435e-05,32880.82191780822,34.87667853982165
3.082947964837729e-05,32436.486486486483,25.966259017087683
3.1246094238220226e-05,32003.999999999996,20.122723215520377
3.166270882806316e-05,31582.8947368421,48.74834092475476
3.20793234179061e-05,31172.72727272727,19.479976652090002
3.2495938007749036e-05,30773.07692307692,32.22845802928919
3.291255259759197e-05,30383.544303797466,26.163465131695578
3.332916718743491e-05,30003.749999999996,15.021346176645297
3.374578177727784e-05,29633.333333333336,38.55277601800231
3.4162396367120775e-05,29271.951219512197,56.49999220385655
3.457901095696371e-05,28919.277108433736,83.49272066191453
3.499562554680665e-05,28575.0,9.970248670716712
3.5412240136649585e-05,28238.823529411766,19.884227020670995
3.582885472649252e-05,27910.46511627907,1.9999094890927365
3.624546931633546e-05,27589.655172413793,24.577117650022945
3.6662083906178394e-05,27276.136363636364,1.3988468244864336
3.707869849602133e-05,26969.662921348314,31.32903833206519
3.749531308586427e-05,26670.0,32.097800771895194
3.7911927675707204e-05,26376.923076923078,5.94429634114006
3.832854226555014e-05,26090.217391304348,20.64060296287452
3.874515685539308e-05,25809.677419354837,30.737932329302726
3.9161771445236014e-05,25535.106382978724,31.983218425663896
3.957838603507895e-05,25266.315789473683,6.027422224801532
3.9995000624921887e-05,25003.125,24.526373751476942
4.041161521476482e-05,24745.360824742267,38.391810995450115
4.082822980460776e-05,24492.85714285714,24.70767216198493
4.1244844394450696e-05,24245.454545454544,10.12266891090398
4.166145898429363e-05,24003.0,26.33063689549267
4.207807357413657e-05,23765.346534653465,16.01676892911697
4.2494688163979506e-05,23532.35294117647,27.006147099693397
4.291130275382244e-05,23303.88349514563,18.50790146432641
4.332791734366538e-05,23079.80769230769,4.8892631149913255
4.3744531933508315e-05,22859.999999999996,10.58377976118526
4.416114652335125e-05,22644.339622641506,21.807070472547796
4.457776111319419e-05,22432.71028037383,13.896955765474672
4.4994375703037125e-05,22224.999999999996,10.147305407268684
4.541099029288006e-05,22021.10091743119,16.31364030274962
4.5827604882723e-05,21820.90909090909,27.996227565612678
4.6244219472565935e-05,21624.324324324323,43.743225051599204
4.6660834062408864e-05,21431.25,18.129668764431248
4.70774486522518e-05,21241.59292035398,24.894169536948432
4.749406324209474e-05,21055.263157894737,14.08742599763421
4.7910677831937674e-05,20872.17391304348,3.5372186223893323
4.832729242178061e-05,20692.241379310344,15.799700364326268
4.874390701162355e-05,20515.384615384617,14.915606382273143
4.9160521601466483e-05,20341.525423728814,7.413677323081438
4.957713619130942e-05,20170.58823529412,8.868579051806886
4.9993750781152357e-05,20002.5,10.041693289031993
5.041036537099529e-05,19837.19008264463,3.9857742622419545
5.082697996083823e-05,19674.590163934427,6.926969591432721
5.1243594550681166e-05,19514.634146341465,9.969551947670466
5.16602091405241e-05,19357.25806451613,11.43346083530339
5.207682373036704e-05,19202.399999999998,20.135399604309278
5.2493438320209976e-05,19050.0,13.276508056848948
5.291005291005291e-05,18900.0,11.838647300196067
5.332666749989585e-05,18752.34375,14.242106002303283
5.3743282089738785e-05,18606.976744186046,14.951634575467665
5.415989667958172e-05,18463.846153846152,8.259484132065612
5.457651126942466e-05,18322.90076335878,13.619427796074126
5.4993125859267595e-05,18184.090909090908,9.13609282984771
5.540974044911053e-05,18047.36842105263,9.867877039484656
5.582635503895347e-05,17912.68656716418,9.671820242094494
5.6242969628796405e-05,17780.0,16.911784018184385
5.665958421863934e-05,17649.264705882353,12.564624081499913
5.707619880848228e-05,17520.43795620438,14.20193658404749
5.7492813398325214e-05,17393.478260869564,12.409350508805232
5.790942798816815e-05,17268.345323741007,16.84873208328315
5.832604257801109e-05,17145.0,4.616201379898744
5.8742657167854024e-05,17023.404255319147,15.644524626194036
5.915927175769696e-05,16903.521126760563,12.812195986234377
5.95758863475399e-05,16785.314685314683,13.260766124785672
5.999250093738283e-05,16668.75,8.408333606479513
6.040911552722576e-05,16553.793103448275,9.418022250266482
6.08257301170687e-05,16440.41095890411,12.855543487886111
6.124234470691164e-05,16328.57142857143,15.174636988867434
6.165895929675458e-05,16218.243243243242,11.234929392062005
6.207557388659751e-05,16109.395973154362,10.021138626430009
6.249218847644045e-05,16001.999999999998,11.002006403250022
6.290880306628338e-05,15896.026490066224,12.937994685509787
6.332541765612633e-05,15791.44736842105,10.626268739562782
6.374203224596926e-05,15688.235294117647,3.114363180152141
6.41586468358122e-05,15586.363636363634,5.418307704125598
6.457526142565513e-05,15485.806451612903,10.003940775468052
6.499187601549807e-05,15386.53846153846,8.059266047355681
6.5408490605341e-05,15288.535031847134,6.24980627302004
6.582510519518394e-05,15191.772151898733,6.598591225799356
6.624171978502687e-05,15096.22641509434,12.678938536879134
6.665833437486982e-05,15001.874999999998,15.144732659874807
6.707494896471275e-05,14908.695652173912,7.790637000427088
6.749156355455568e-05,14816.666666666668,12.118868522389567
6.790817814439862e-05,14725.766871165644,14.121390167855498
