datetime,datetime_start,datetime_end,flux_mccallum_mm_day,flux_hatch_amplitude_mm_day,flux_keery_mm_day,flux_luce_mm_day,A_shallow,A_deep,r2_shallow,r2_deep,delta_phi,quality_flag,par
2025-12-22 16:00:00,2025-12-21 16:00:00,2025-12-23 15:30:00,-1326.1305939706185,,-883.4019674196189,-49926768390.4291,7.33346450232375e-09,0.37902083215385013,4.547806131682819e-09,0.9106883259466001,4.436884736190039,1,sup_int
2025-12-23 04:00:00,2025-12-22 04:00:00,2025-12-24 03:30:00,586.4628241442914,163.77542076970406,379.022949862509,812.7252663120496,2.758422451082466,0.4376906028309279,0.939815509046311,0.9613063154512935,3.8756511001644407,0,sup_int
2025-12-23 16:00:00,2025-12-22 16:00:00,2025-12-24 15:30:00,605.7853140694718,168.30362478069515,362.6924652958121,807.8719460380364,2.734304450083309,0.44760115093997704,0.9311284402632367,0.9331999526215649,3.660521302273207,0,sup_int
2025-12-24 04:00:00,2025-12-23 04:00:00,2025-12-25 03:30:00,590.047716274684,162.46828832755443,378.9770915664632,814.1173420282933,2.7300810228193932,0.42925932649398674,0.9376658578666179,0.9199410771790845,3.8658360553453766,0,sup_int
2025-12-24 16:00:00,2025-12-23 16:00:00,2025-12-25 15:30:00,642.3778845815596,164.09443470150214,350.88435976803356,812.3849071980667,2.549914215628791,0.40550414396879436,0.8714018637436324,0.8697404052272857,3.453473355024023,0,sup_int
2025-12-25 04:00:00,2025-12-24 04:00:00,2025-12-26 03:30:00,1323.8808004112675,,1775.1084725081923,,2.8193418293299666,1.5839337484849747e-09,0.8653587297605033,6.623191994847843e-10,5.47293190845481,1,sup_int
2025-12-25 16:00:00,2025-12-24 16:00:00,2025-12-26 15:30:00,644.9120079011706,163.48477528767899,350.5357435160772,813.0351497417938,2.56270091592425,0.4058125508409951,0.8775779145771123,0.4965744114959405,3.4439736388502937,0,sup_int
2025-12-26 04:00:00,2025-12-25 04:00:00,2025-12-27 03:30:00,610.3150935362429,145.75619719763299,392.7372996538887,831.537424647723,2.596073680596789,0.3613736433566309,0.888884811374411,0.6042809691930194,3.9515545198236284,0,sup_int
2025-12-26 16:00:00,2025-12-25 16:00:00,2025-12-27 15:30:00,1346.348433440548,,1554.4681826123347,,2.58120592324184,5.606121677992348e-09,0.909474870901857,2.353799466447981e-08,3.497354463249703,1,sup_int
2025-12-27 04:00:00,2025-12-26 04:00:00,2025-12-28 03:30:00,610.1205502756959,154.94227710448243,379.26080875556846,822.0513449473056,2.4510687380328755,0.36525820178183954,0.9256230524504467,0.8584427125232975,3.8164655915645005,0,sup_int
2025-12-27 16:00:00,2025-12-26 16:00:00,2025-12-28 15:30:00,650.3029056528221,145.57299691789788,372.7108283390368,831.7242820582723,2.500741229991543,0.3476196332852953,0.9057404307068952,0.7768458036778583,3.648117896797869,0,sup_int
2025-12-28 04:00:00,2025-12-27 04:00:00,2025-12-29 03:30:00,583.8176283547009,154.4419896418513,394.1734186207336,822.5737101237206,2.7619402801235196,0.4100907584673441,0.9338122902369972,0.6850517973302286,4.037747353655232,0,sup_int
2025-12-28 16:00:00,2025-12-27 16:00:00,2025-12-29 15:30:00,669.8607486784842,152.80689691499734,353.5967702617023,824.2764433036303,2.6802122450715857,0.3932315566896613,0.9228684770527186,0.6475086583856933,3.413814131236896,0,sup_int
2025-12-29 04:00:00,2025-12-28 04:00:00,2025-12-30 03:30:00,607.0123137753349,144.31141545715562,396.71749660320023,833.0085033890606,2.8370311331962497,0.3905945730772493,0.9259807054066792,0.7120168743096015,4.000584933343833,0,sup_int
2025-12-29 16:00:00,2025-12-28 16:00:00,2025-12-30 15:30:00,-1365.6175444019746,,-1301.033693748357,-777555824347.7074,4.817342080798426e-10,0.38775685835851564,-2.6619950688200333e-10,0.7652132804631202,0.8836191160209332,1,sup_int
