time,temperature
1970-01-01 11:18:30.000011574,16.938
1970-01-01 11:18:30.006956019,16.875
1970-01-01 11:18:30.013900463,16.812
1970-01-01 11:18:30.020844907,16.812
1970-01-01 11:18:30.027789352,16.75
1970-01-01 11:18:30.034733796,16.687
1970-01-01 11:18:30.041678241,16.687
1970-01-01 11:18:30.048622685,16.624
1970-01-01 11:18:30.055567130,16.562
1970-01-01 11:18:30.062511574,16.562
1970-01-01 11:18:30.069456019,16.499
1970-01-01 11:18:30.076400463,16.499
1970-01-01 11:18:30.083344907,16.436
1970-01-01 11:18:30.090289352,16.436
1970-01-01 11:18:30.097233796,16.374
1970-01-01 11:18:30.104178241,16.311
1970-01-01 11:18:30.111122685,16.311
1970-01-01 11:18:30.118067130,16.248
1970-01-01 11:18:30.125011573,16.248
1970-01-01 11:18:30.131956019,16.186
1970-01-01 11:18:30.138900463,16.186
1970-01-01 11:18:30.145844907,16.123
1970-01-01 11:18:30.152789352,16.123
1970-01-01 11:18:30.159733796,16.06
1970-01-01 11:18:30.166678241,16.06
1970-01-01 11:18:30.173622685,15.998
1970-01-01 11:18:30.180567130,15.998
1970-01-01 11:18:30.187511574,15.935
1970-01-01 11:18:30.194456019,15.935
1970-01-01 11:18:30.201400463,15.872
1970-01-01 11:18:30.208344907,15.872
1970-01-01 11:18:30.215289352,15.81
1970-01-01 11:18:30.222233796,15.81
1970-01-01 11:18:30.229178241,15.747
1970-01-01 11:18:30.236122685,15.747
1970-01-01 11:18:30.243067130,15.747
1970-01-01 11:18:30.250011574,15.684
1970-01-01 11:18:30.256956018,15.684
1970-01-01 11:18:30.263900462,15.622
1970-01-01 11:18:30.270844907,15.622
1970-01-01 11:18:30.277789352,15.622
1970-01-01 11:18:30.284733796,15.559
1970-01-01 11:18:30.291678241,15.559
1970-01-01 11:18:30.298622685,15.559
1970-01-01 11:18:30.305567130,15.559
1970-01-01 11:18:30.312511574,15.496
1970-01-01 11:18:30.319456019,15.496
1970-01-01 11:18:30.326400463,15.496
1970-01-01 11:18:30.333344907,15.496
1970-01-01 11:18:30.340289352,15.496
1970-01-01 11:18:30.347233796,15.496
1970-01-01 11:18:30.354178241,15.496
1970-01-01 11:18:30.361122685,15.496
1970-01-01 11:18:30.368067130,15.496
1970-01-01 11:18:30.375011574,15.559
1970-01-01 11:18:30.381956019,15.559
1970-01-01 11:18:30.388900463,15.622
1970-01-01 11:18:30.395844907,15.622
1970-01-01 11:18:30.402789352,15.684
1970-01-01 11:18:30.409733796,15.747
1970-01-01 11:18:30.416678241,15.747
1970-01-01 11:18:30.423622685,15.81
1970-01-01 11:18:30.430567130,15.872
1970-01-01 11:18:30.437511574,15.935
1970-01-01 11:18:30.444456019,15.998
1970-01-01 11:18:30.451400463,16.06
1970-01-01 11:18:30.458344907,16.123
1970-01-01 11:18:30.465289352,16.186
1970-01-01 11:18:30.472233796,16.248
1970-01-01 11:18:30.479178241,16.374
1970-01-01 11:18:30.486122685,16.436
1970-01-01 11:18:30.493067130,16.499
1970-01-01 11:18:30.500011573,16.624
1970-01-01 11:18:30.506956019,16.687
1970-01-01 11:18:30.513900463,16.75
1970-01-01 11:18:30.520844906,16.875
1970-01-01 11:18:30.527789352,16.938
1970-01-01 11:18:30.534733796,17.063
1970-01-01 11:18:30.541678241,17.126
1970-01-01 11:18:30.548622685,17.188
1970-01-01 11:18:30.555567130,17.314
1970-01-01 11:18:30.562511574,17.376
1970-01-01 11:18:30.569456019,17.439
1970-01-01 11:18:30.576400463,17.502
1970-01-01 11:18:30.583344907,17.627
1970-01-01 11:18:30.590289352,17.69
1970-01-01 11:18:30.597233796,17.752
1970-01-01 11:18:30.604178241,17.815
1970-01-01 11:18:30.611122685,17.878
1970-01-01 11:18:30.618067130,18.003
1970-01-01 11:18:30.625011574,18.003
1970-01-01 11:18:30.631956019,18.066
1970-01-01 11:18:30.638900463,18.128
1970-01-01 11:18:30.645844907,18.191
1970-01-01 11:18:30.652789352,18.254
1970-01-01 11:18:30.659733796,18.254
1970-01-01 11:18:30.666678241,18.316
1970-01-01 11:18:30.673622685,18.379
1970-01-01 11:18:30.680567130,18.379
1970-01-01 11:18:30.687511574,18.441
1970-01-01 11:18:30.694456019,18.441
1970-01-01 11:18:30.701400463,18.441
1970-01-01 11:18:30.708344907,18.504
1970-01-01 11:18:30.715289352,18.504
1970-01-01 11:18:30.722233796,18.504
1970-01-01 11:18:30.729178241,18.567
1970-01-01 11:18:30.736122685,18.567
1970-01-01 11:18:30.743067130,18.567
1970-01-01 11:18:30.750011574,18.567
